"ae","dataset","camera_path","camera_step","pos_x","pos_y","view_x","view_y"
"1","vdb-volume","spiral-zoom","188","0.828946","-0.264062","-0.057631","0.017316"
"1","vdb-volume","spiral-zoom","189","0.829764","-0.259948","-0.057709","0.017046"
"1","vdb-volume","spiral-zoom","190","0.830562","-0.255835","-0.057786","0.016776"
"1","vdb-volume","spiral-zoom","191","0.831346","-0.251723","-0.057861","0.016505"
"1","vdb-volume","spiral-zoom","192","0.832116","-0.24761","-0.057936","0.016235"
"1","vdb-volume","spiral-zoom","193","0.832866","-0.243499","-0.058009","0.015964"
"1","vdb-volume","spiral-zoom","194","0.833602","-0.239389","-0.05808","0.015693"
"1","vdb-volume","spiral-zoom","195","0.834318","-0.235281","-0.058151","0.015422"
"1","vdb-volume","spiral-zoom","196","0.835021","-0.231175","-0.05822","0.015151"
"1","vdb-volume","spiral-zoom","197","0.83571","-0.22707","-0.058288","0.01488"
"1","vdb-volume","spiral-zoom","198","0.83638","-0.222969","-0.058354","0.014609"
"1","vdb-volume","spiral-zoom","199","0.83703","-0.21887","-0.05842","0.014338"
"1","vdb-volume","spiral-zoom","200","0.837667","-0.214775","-0.058483","0.014067"
"1","vdb-volume","spiral-zoom","201","0.838291","-0.210682","-0.058546","0.013796"
"1","vdb-volume","spiral-zoom","202","0.838902","-0.206592","-0.058608","0.013524"
"1","vdb-volume","spiral-zoom","203","0.839487","-0.202509","-0.058668","0.013253"
"1","vdb-volume","spiral-zoom","204","0.840066","-0.198427","-0.058726","0.012982"
"1","vdb-volume","spiral-zoom","205","0.840625","-0.194351","-0.058784","0.012712"
"1","vdb-volume","spiral-zoom","206","0.841165","-0.19028","-0.05884","0.012441"
"1","vdb-volume","spiral-zoom","207","0.841693","-0.186214","-0.058895","0.01217"
"1","vdb-volume","spiral-zoom","208","0.842208","-0.182152","-0.058948","0.0119"
"1","vdb-volume","spiral-zoom","209","0.842705","-0.178098","-0.059001","0.01163"
"1","vdb-volume","spiral-zoom","210","0.843182","-0.17405","-0.059052","0.01136"
"1","vdb-volume","spiral-zoom","211","0.843654","-0.170006","-0.059101","0.01109"
"1","vdb-volume","spiral-zoom","212","0.8441","-0.165971","-0.05915","0.010821"
"1","vdb-volume","spiral-zoom","213","0.844541","-0.161939","-0.059197","0.010551"
"1","vdb-volume","spiral-zoom","214","0.844957","-0.157918","-0.059243","0.010283"
"1","vdb-volume","spiral-zoom","215","0.845367","-0.153902","-0.059287","0.010014"
"1","vdb-volume","spiral-zoom","216","0.845753","-0.149896","-0.05933","0.009746"
"1","vdb-volume","spiral-zoom","217","0.846133","-0.145896","-0.059373","0.009478"
"1","vdb-volume","spiral-zoom","218","0.846489","-0.141906","-0.059413","0.009211"
"1","vdb-volume","spiral-zoom","219","0.846839","-0.137922","-0.059453","0.008944"
"1","vdb-volume","spiral-zoom","220","0.847171","-0.133949","-0.059491","0.008677"
"1","vdb-volume","spiral-zoom","221","0.847485","-0.129984","-0.059528","0.008411"
"1","vdb-volume","spiral-zoom","222","0.847788","-0.126029","-0.059564","0.008145"
"1","vdb-volume","spiral-zoom","223","0.848073","-0.122084","-0.059598","0.00788"
"1","vdb-volume","spiral-zoom","224","0.848347","-0.118148","-0.059632","0.007616"
"1","vdb-volume","spiral-zoom","225","0.848609","-0.114221","-0.059664","0.007352"
"1","vdb-volume","spiral-zoom","226","0.848848","-0.110308","-0.059695","0.007088"
"1","vdb-volume","spiral-zoom","227","0.849081","-0.106403","-0.059724","0.006825"
"1","vdb-volume","spiral-zoom","228","0.849298","-0.102509","-0.059753","0.006563"
"1","vdb-volume","spiral-zoom","229","0.849497","-0.098629","-0.05978","0.006301"
"1","vdb-volume","spiral-zoom","230","0.849685","-0.094758","-0.059806","0.00604"
"1","vdb-volume","spiral-zoom","231","0.849862","-0.090898","-0.059831","0.00578"
"1","vdb-volume","spiral-zoom","232","0.850022","-0.087052","-0.059855","0.00552"
"1","vdb-volume","spiral-zoom","233","0.850165","-0.083219","-0.059877","0.005262"
"1","vdb-volume","spiral-zoom","234","0.850297","-0.079397","-0.059898","0.005003"
"1","vdb-volume","spiral-zoom","235","0.850413","-0.07559","-0.059919","0.004746"
"1","vdb-volume","spiral-zoom","236","0.850518","-0.071794","-0.059938","0.004489"
"1","vdb-volume","spiral-zoom","237","0.850613","-0.068012","-0.059956","0.004234"
"1","vdb-volume","spiral-zoom","238","0.850691","-0.064244","-0.059972","0.003979"
"1","vdb-volume","spiral-zoom","239","0.850752","-0.06049","-0.059988","0.003724"
"1","vdb-volume","spiral-zoom","240","0.850803","-0.05675","-0.060003","0.003471"
"1","vdb-volume","spiral-zoom","241","0.850838","-0.053026","-0.060016","0.003219"
"1","vdb-volume","spiral-zoom","242","0.850863","-0.049315","-0.060028","0.002967"
"1","vdb-volume","spiral-zoom","243","0.850878","-0.045618","-0.06004","0.002717"
"1","vdb-volume","spiral-zoom","244","0.85087","-0.041939","-0.06005","0.002467"
"1","vdb-volume","spiral-zoom","245","0.850858","-0.038274","-0.060059","0.002218"
"1","vdb-volume","spiral-zoom","246","0.850831","-0.034625","-0.060067","0.00197"
"1","vdb-volume","spiral-zoom","247","0.850787","-0.030992","-0.060074","0.001724"
"1","vdb-volume","spiral-zoom","248","0.850734","-0.027375","-0.06008","0.001478"
"1","vdb-volume","spiral-zoom","249","0.850665","-0.023776","-0.060085","0.001233"
"1","vdb-volume","spiral-zoom","250","0.850587","-0.020193","-0.06009","0.00099"
"1","vdb-volume","spiral-zoom","251","0.850493","-0.016627","-0.060093","0.000747"
"1","vdb-volume","spiral-zoom","252","0.850389","-0.013078","-0.060095","0.000506"
"1","vdb-volume","spiral-zoom","253","0.850276","-0.009545","-0.060096","0.000265"
"1","vdb-volume","spiral-zoom","254","0.850141","-0.006033","-0.060096","0.000026"
"1","vdb-volume","spiral-zoom","255","0.850004","-0.002537","-0.060095","-0.000212"
"1","vdb-volume","spiral-zoom","256","0.849844","0.00094","-0.060093","-0.000449"
"1","vdb-volume","spiral-zoom","257","0.849682","0.0044","-0.060091","-0.000685"
"1","vdb-volume","spiral-zoom","258","0.849499","0.007838","-0.060087","-0.00092"
"1","vdb-volume","spiral-zoom","259","0.849312","0.011261","-0.060083","-0.001153"
"1","vdb-volume","spiral-zoom","260","0.849105","0.014662","-0.060078","-0.001385"
"1","vdb-volume","spiral-zoom","261","0.848894","0.018046","-0.060071","-0.001616"
"1","vdb-volume","spiral-zoom","262","0.848669","0.021408","-0.060064","-0.001846"
"1","vdb-volume","spiral-zoom","263","0.848429","0.024751","-0.060056","-0.002074"
"1","vdb-volume","spiral-zoom","264","0.848174","0.028073","-0.060048","-0.002302"
"1","vdb-volume","spiral-zoom","265","0.847917","0.031376","-0.060038","-0.002528"
"1","vdb-volume","spiral-zoom","266","0.847638","0.034657","-0.060028","-0.002752"
"1","vdb-volume","spiral-zoom","267","0.847358","0.03792","-0.060017","-0.002975"
"1","vdb-volume","spiral-zoom","268","0.847056","0.041158","-0.060005","-0.003197"
"1","vdb-volume","spiral-zoom","269","0.846753","0.044378","-0.059992","-0.003418"
"1","vdb-volume","spiral-zoom","270","0.846435","0.047576","-0.059979","-0.003637"
"1","vdb-volume","spiral-zoom","271","0.846103","0.050752","-0.059965","-0.003855"
"1","vdb-volume","spiral-zoom","272","0.845762","0.053906","-0.05995","-0.004071"
"1","vdb-volume","spiral-zoom","273","0.845408","0.057037","-0.059934","-0.004286"
"1","vdb-volume","spiral-zoom","274","0.845045","0.060147","-0.059918","-0.0045"
"1","vdb-volume","spiral-zoom","275","0.844668","0.063234","-0.059901","-0.004712"
"1","vdb-volume","spiral-zoom","276","0.844283","0.066298","-0.059884","-0.004923"
"1","vdb-volume","spiral-zoom","277","0.843884","0.069339","-0.059865","-0.005132"
"1","vdb-volume","spiral-zoom","278","0.843477","0.072357","-0.059846","-0.00534"
"1","vdb-volume","spiral-zoom","279","0.843056","0.075352","-0.059827","-0.005547"
"1","vdb-volume","spiral-zoom","280","0.842628","0.078324","-0.059807","-0.005751"
"1","vdb-volume","spiral-zoom","281","0.842192","0.081272","-0.059786","-0.005955"
"1","vdb-volume","spiral-zoom","282","0.841736","0.084194","-0.059765","-0.006157"
"1","vdb-volume","spiral-zoom","283","0.841279","0.087095","-0.059743","-0.006357"
"1","vdb-volume","spiral-zoom","284","0.840808","0.089971","-0.05972","-0.006556"
"1","vdb-volume","spiral-zoom","285","0.840323","0.092821","-0.059697","-0.006753"
"1","vdb-volume","spiral-zoom","286","0.839831","0.095647","-0.059674","-0.006949"
"1","vdb-volume","spiral-zoom","287","0.839332","0.098449","-0.05965","-0.007143"
"1","vdb-volume","spiral-zoom","288","0.83882","0.101225","-0.059626","-0.007336"
"1","vdb-volume","spiral-zoom","289","0.8383","0.103977","-0.059601","-0.007527"
"1","vdb-volume","spiral-zoom","290","0.837767","0.106702","-0.059575","-0.007716"
"1","vdb-volume","spiral-zoom","291","0.83722","0.109401","-0.059549","-0.007904"
"1","vdb-volume","spiral-zoom","292","0.836673","0.112077","-0.059523","-0.008091"
"1","vdb-volume","spiral-zoom","293","0.836106","0.114724","-0.059496","-0.008275"
"1","vdb-volume","spiral-zoom","294","0.835539","0.117348","-0.059469","-0.008458"
"1","vdb-volume","spiral-zoom","295","0.834958","0.119944","-0.059441","-0.00864"
"1","vdb-volume","spiral-zoom","296","0.834364","0.122513","-0.059413","-0.008819"
"1","vdb-volume","spiral-zoom","297","0.833764","0.125056","-0.059385","-0.008998"
"1","vdb-volume","spiral-zoom","298","0.833157","0.127573","-0.059356","-0.009174"
"1","vdb-volume","spiral-zoom","299","0.832537","0.130063","-0.059327","-0.009349"
"1","vdb-volume","spiral-zoom","300","0.831904","0.132524","-0.059298","-0.009522"
"1","vdb-volume","spiral-zoom","301","0.831271","0.134961","-0.059268","-0.009694"
"1","vdb-volume","spiral-zoom","302","0.830618","0.137367","-0.059238","-0.009863"
"1","vdb-volume","spiral-zoom","303","0.829966","0.139748","-0.059208","-0.010032"
"1","vdb-volume","spiral-zoom","304","0.8293","0.142101","-0.059177","-0.010198"
"1","vdb-volume","spiral-zoom","305","0.828622","0.144425","-0.059146","-0.010363"
"1","vdb-volume","spiral-zoom","306","0.827938","0.146722","-0.059115","-0.010526"
"1","vdb-volume","spiral-zoom","307","0.827247","0.148991","-0.059084","-0.010687"
"1","vdb-volume","spiral-zoom","308","0.826544","0.151231","-0.059052","-0.010847"
"1","vdb-volume","spiral-zoom","309","0.825835","0.153443","-0.059021","-0.011005"
"1","vdb-volume","spiral-zoom","310","0.825113","0.155626","-0.058989","-0.011161"
"1","vdb-volume","spiral-zoom","311","0.824385","0.157781","-0.058956","-0.011316"
"1","vdb-volume","spiral-zoom","312","0.823651","0.159908","-0.058924","-0.011468"
"1","vdb-volume","spiral-zoom","313","0.822904","0.162005","-0.058891","-0.011619"
"1","vdb-volume","spiral-zoom","314","0.822151","0.164073","-0.058859","-0.011769"
"1","vdb-volume","spiral-zoom","315","0.821393","0.166113","-0.058826","-0.011916"
"1","vdb-volume","spiral-zoom","316","0.820622","0.168123","-0.058793","-0.012062"
"1","vdb-volume","spiral-zoom","317","0.819839","0.170102","-0.05876","-0.012206"
"1","vdb-volume","spiral-zoom","318","0.819056","0.172054","-0.058727","-0.012348"
"1","vdb-volume","spiral-zoom","319","0.818262","0.173976","-0.058694","-0.012489"
"1","vdb-volume","spiral-zoom","320","0.817455","0.175866","-0.05866","-0.012627"
